target_chembl_id,pref_name,family,organism,target_type
CHEMBL5870,Centromere-associated protein E,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523602,Centrosomal protein 43/RET,Unknown,Homo sapiens,CHIMERIC PROTEIN
CHEMBL2063,Ceramide glucosyltransferase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1764936,Ceramide kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291526,Ceramide synthase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291553,Ceramide synthase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291570,Ceramide synthase 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291585,Ceramide synthase 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291517,Ceramide synthase 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4742317,Cereblon/45 kDa calcium-binding protein,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879537,Cereblon/ALK tyrosine kinase receptor,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742327,Cereblon/Adhesion G-protein coupled receptor G1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742252,Cereblon/Agrin,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296167,Cereblon/Aiolos,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742298,Cereblon/Anamorsin,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742293,Cereblon/Apoptosis-stimulating of p53 protein 2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742276,Cereblon/Aryl hydrocarbon receptor,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296137,Cereblon/BCR/ABL,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291676,Cereblon/BET1 homolog,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296138,Cereblon/Bromodomain-containing protein 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291686,Cereblon/Bromodomain-containing protein 7,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879534,Cereblon/Bromodomain-containing protein 9,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742302,Cereblon/Carbohydrate sulfotransferase 14,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296102,Cereblon/Casein kinase I alpha,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4742265,Cereblon/Cold shock domain-containing protein E1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296134,Cereblon/Cullin-4A/Bromodomain-containing protein 2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296135,Cereblon/Cullin-4A/Bromodomain-containing protein 3,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296133,Cereblon/Cullin-4A/Bromodomain-containing protein 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4680053,Cereblon/Cyclin B1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742266,Cereblon/Cyclin-D1-binding protein 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879535,Cereblon/Cyclin-dependent kinase 12,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296126,Cereblon/Cyclin-dependent kinase 19,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296125,Cereblon/Cyclin-dependent kinase 8,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742267,Cereblon/Cystatin-C,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296145,Cereblon/DNA damage-binding protein 1/Bromodomain-containing protein 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291685,Cereblon/DNA damage-binding protein 1/Tyrosine-protein kinase Lck,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742319,Cereblon/DNA polymerase delta subunit 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742296,Cereblon/Delta(24)-sterol reductase,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742273,Cereblon/Desmoplakin,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742281,Cereblon/Dynein light chain Tctex-type 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742315,Cereblon/E3 SUMO-protein ligase NSE2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742303,Cereblon/E3 ubiquitin-protein ligase DTX3L,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742294,Cereblon/E3 ubiquitin-protein ligase SHPRH,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296166,Cereblon/EML4/ALK,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742264,Cereblon/Endothelial differentiation-related factor 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742292,Cereblon/Epithelial discoidin domain-containing receptor 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879530,Cereblon/Eukaryotic translation initiation factor 4E,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291677,Cereblon/FGFR1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291678,Cereblon/FGFR2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291680,Cereblon/FGFR3,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291679,Cereblon/FGFR4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4680052,Cereblon/Focal adhesion kinase 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296168,Cereblon/GSPT1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4524003,Cereblon/GSPT1/Cullin-4A/DDB1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4680054,Cereblon/Hematopoietic prostaglandin D synthase,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296130,Cereblon/Histone deacetylase 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296128,Cereblon/Histone deacetylase 2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296127,Cereblon/Histone deacetylase 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296129,Cereblon/Histone deacetylase 6,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742318,Cereblon/Histone-lysine N-methyltransferase PRDM16,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742279,Cereblon/IRAK1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742326,Cereblon/IRAK3,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296103,Cereblon/Ikaros,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4742272,"Cereblon/Indoleamine 2,3-dioxygenase 1",Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742275,Cereblon/JAK1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742262,Cereblon/Kunitz-type protease inhibitor 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742270,Cereblon/Laminin subunit beta-1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742286,Cereblon/MAP2K1/MAP2K2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742274,Cereblon/MGMT,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742325,Cereblon/Melanoma-associated antigen D1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296132,Cereblon/NAD-dependent protein deacetylase sirtuin-1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296131,Cereblon/NAD-dependent protein deacetylase sirtuin-2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296165,Cereblon/NPM/ALK,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742268,Cereblon/NTRK1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742295,Cereblon/Nectin-1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742271,Cereblon/PARP1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296136,Cereblon/Peptidyl-prolyl cis-trans isomerase FKBP1A,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879531,Cereblon/Platelet-derived growth factor receptor beta,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742300,Cereblon/Pleckstrin homology-like domain family B member 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742261,"Cereblon/Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291684,Cereblon/Proteasomal ubiquitin receptor ADRM1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742304,Cereblon/Protein FAM3C,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742314,Cereblon/Protein LTV1 homolog,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879528,Cereblon/Protein-tyrosine phosphatase 2C,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291687,Cereblon/RAC-gamma serine/threonine-protein kinase,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742323,Cereblon/SET domain-containing protein 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742322,Cereblon/SIRT3,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742324,Cereblon/SIRT5,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742301,Cereblon/SIRT6,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291681,Cereblon/SOS1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742316,Cereblon/SOSS complex subunit B1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879536,Cereblon/Sal-like protein 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291682,Cereblon/Serine/threonine-protein kinase PAK 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL5291683,Cereblon/Serine/threonine-protein kinase PAK 2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742280,Cereblon/Serine/threonine-protein kinase PLK1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879529,Cereblon/Serine/threonine-protein kinase RIPK2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742282,Cereblon/Small EDRK-rich factor 2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742321,Cereblon/Transmembrane protease serine 4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879538,Cereblon/Tumour suppressor p53/oncoprotein Mdm2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742263,Cereblon/Tyrosine-protein kinase JAK2,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742277,Cereblon/Ubiquitin carboxyl-terminal hydrolase 8,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742320,Cereblon/Ubiquitin-conjugating enzyme E2 T,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4742299,Cereblon/WDFY4,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879533,Cereblon/Zinc finger protein 692,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4879532,Cereblon/Zinc finger protein 827,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL2193,Cerebroside-sulfatase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075421,ChaGo-K-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL5550,"Chaperone activity of bc1 complex-like, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4339,Chemokine XC receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3080,Chitinase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523223,Chloride anion exchanger,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1628478,Chloride channel protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1649050,Cholecystokinin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1901,Cholecystokinin A receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL298,Cholecystokinin B receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2095185,Cholecystokinin receptor,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4523965,Cholecystokinin(CCK) A/B,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4651303,Cholesterol,Unknown,Homo sapiens,LIPID
CHEMBL4523510,Cholesterol 24-hydroxylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3219,Cholesterol esterase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3572,Cholesteryl ester transfer protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4039,Choline acetylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3117,Choline kinase alpha,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3713014,Choline transporter-like protein 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105855,Choline-phosphate cytidylyltransferase A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3112385,Choline/ethanolamine kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105740,Choline/ethanolaminephosphotransferase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2095233,Cholinesterases; ACHE & BCHE,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2040705,Chondroitin sulfate N-acetylgalactosaminyltransferase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3140342,Chondroitin-6-sulfate,Unknown,Homo sapiens,OLIGOSACCHARIDE
CHEMBL1741193,Chromobox protein homolog 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3779761,Chromobox protein homolog 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3826866,Chromobox protein homolog 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3826867,Chromobox protein homolog 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3779762,Chromobox protein homolog 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1764946,Chromobox protein homolog 7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3232684,Chromobox protein homolog 8,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3879827,Chromodomain Y-like protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3879857,Chromodomain Y-like protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523123,Chromodomain-helicase-DNA-binding protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105742,Chromodomain-helicase-DNA-binding protein 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6163,Chromosome-associated kinesin KIF4A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4068,Chymase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523987,Chymotrypsin,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL2386,Chymotrypsin C,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4873,Chymotrypsin-like protease CTRL-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295678,"Citrate synthase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5579,Citron Rho-interacting kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523988,Class 1 histone deacetylase,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL3108634,Clathrin heavy chain 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295706,Clathrin light chain A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3712859,Claudin-18,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295673,Clustered mitochondria protein homolog,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4630579,Clusterin mRNA,Unknown,Homo sapiens,NUCLEIC-ACID
CHEMBL4081,Coagulation factor III,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2016,Coagulation factor IX,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111424,Coagulation factor IX and X,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4296076,Coagulation factor IX/VIII,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3618,Coagulation factor V,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3991,Coagulation factor VII,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111412,Coagulation factor VII and X,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2095194,Coagulation factor VII/tissue factor,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3143,Coagulation factor VIII,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL244,Coagulation factor X,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111419,Coagulation factor X and plasma kallikrein,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2111449,Coagulation factor X/antithrombin III,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2820,Coagulation factor XI,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2821,Coagulation factor XII,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4530,Coagulation factor XIII,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3351193,Coagulation factor XIII B chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295782,Coatomer subunit beta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4879517,Cobalamin trafficking protein CblD,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075129,Cofilin-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523378,Coiled-coil domain-containing protein 43,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3430904,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET,Unknown,Homo sapiens,CHIMERIC PROTEIN
CHEMBL614462,Col2,Unknown,Homo sapiens,CELL-LINE
CHEMBL2364188,Collagen,Unknown,Homo sapiens,PROTEIN COMPLEX GROUP
CHEMBL2685,Collagen alpha 2 chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5169108,Collagen alpha-1(II) chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3988505,Collagen alpha-4(IV) chain,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3399913,Collagen type IV alpha-3-binding protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5286,Collagen-binding protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2095216,Collagenase,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL614841,Colon adenocarcinoma cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL612260,Colon cancer cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL614464,Colon carcinoma cell,Unknown,Homo sapiens,CELL-LINE
CHEMBL614469,Colon cell,Unknown,Homo sapiens,CELL-LINE
CHEMBL614842,Colon cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL4611,Complement C1r,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3913,Complement C1s,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295701,Complement C2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4917,Complement C3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2364163,Complement C5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4627245,Complement C5 mRNA,Unknown,Homo sapiens,NUCLEIC-ACID
CHEMBL3308978,"Complement component 3a receptor 1, isoform CRA_a",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295693,Complement component C9,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4879428,Complement decay-accelerating factor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5731,Complement factor B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2176771,Complement factor D,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4629,Complement factor H,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3713643,Complement receptor type 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2221342,Complex of retinoic acid binding (CRABPII) and inhibitor of apoptosis (cIAP1) proteins,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3712901,Connective tissue growth factor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296242,Connector enhancer of kinase suppressor of ras 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1938216,Connector enhancer of kinase suppressor of ras 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105805,Conserved oligomeric Golgi complex subunit 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105842,Conserved oligomeric Golgi complex subunit 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105733,Conserved oligomeric Golgi complex subunit 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105962,Conserved oligomeric Golgi complex subunit 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105843,Conserved oligomeric Golgi complex subunit 7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105880,Conserved oligomeric Golgi complex subunit 8,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295966,Constitutive coactivator of PPAR-gamma-like protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291564,Copper-transporting ATPase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1681618,"Coproporphyrinogen-III oxidase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1615386,Core-binding factor subunit beta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614737,Coronary artery smooth muscle cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL5169128,Coronin-1A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL613418,Cortex,Unknown,Homo sapiens,TISSUE
CHEMBL5291554,Corticoliberin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2421,Corticosteroid binding globulin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1800,Corticotropin releasing factor receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4069,Corticotropin releasing factor receptor 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885546,Corticotropin-releasing factor receptor 2/Corticotropin-releasing factor-binding protein,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL5930,Corticotropin-releasing factor-binding protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4879448,Coxsackievirus and adenovirus receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6049,Creatine kinase B-type,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2656,Creatine kinase M,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291558,Crk-like protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296247,Cry1/Cry2,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4296246,Cryptochrome-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4513124,CuFi-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL3758068,Cullin-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885547,Cullin-1/S-phase kinase-associated protein 1,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4296124,Cullin-3/Microtubule-associated protein tau,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4523598,Cullin-4A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523287,Cullin-4B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291609,Cullin-5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5291557,Cyclic AMP-dependent transcription factor ATF-2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5587,Cyclic AMP-responsive element-binding protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105728,Cyclic GMP-AMP synthase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2582,Cyclin A2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2165,Cyclin H,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2108,Cyclin T1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885548,Cyclin-A1/Cyclin-dependent kinase 4,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3883323,Cyclin-C/Cyclin-dependent kinase 19,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2346490,Cyclin-K,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105895,Cyclin-O,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885549,Cyclin-T1/Cyclin-dependent-like kinase 5,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL1293321,Cyclin-T2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885550,Cyclin-Y/Cyclin-dependent kinase 16,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3559691,Cyclin-dependent kinase,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL308,Cyclin-dependent kinase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296065,Cyclin-dependent kinase 1/ G1/S-specific cyclin-D3,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4296066,Cyclin-dependent kinase 1/Cyclin A1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL3885551,Cyclin-dependent kinase 1/G1/S-specific cyclin-D1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL1907602,Cyclin-dependent kinase 1/cyclin B1,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL1795191,Cyclin-dependent kinase 10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3559692,Cyclin-dependent kinase 12,Unknown,Homo sapiens,SINGLE PROTEIN
